N0;Komentar;
82;"Masih kurang lengkap untuk metode pembayaran agar diperlengkap lagi Banknya. masalah yang sering timbul masi banyak Seller yang mengecewakan. barang tidak sesuai gambar & Deskripsi (menjadi salah satu kecurangan yang masih diizinkan di Aplikasi ini). dan proses tunggu respon dengan jeda waktu yang terlalu lama. itu hanya sedikit masalh dlm Toped selebihnya Bagus. dan terimakasih untuk para seller Jujur, semoga usahanya diperlancar";
83;"Setiap kali transaksi di topet, sekalipun barang nggak pernah datang tepat waktu, itu ttp coba saya maklumin. Tapi yang terakhir ini. Saya minta pengiriman satu hari, barang baru datang seminggu, kan anjing... CS responnya lama nggak ikut membantu dan tanpa tanggungjawab, malah menyuruh saya menghubungi kurir. Dah uninstall pindah ke Shopee.";
84;tokopedia makin oke...akhirnya sesuai harapan sy bisa dicopas tapi syg sy masih blm bisa upgrade ke ovopoint krn ktp sy msh berupa resi...dan selalu gagal diproses...;
85;kenapa ya tokped saya ga bisa nyelesain pembayaran.... manual transfer BRI dr indomaret dll tidak muncul kenapa biasa nya bisa mohon bantuan nya...nti saya kasih bintang 5 akun saya di tokped atas nama suami Teguh rinaldi;
86;"terlalu ribet dan tidak teratur. kupon promo juga ribet harus disalin dan dicoba satu-persatu, banyak menyita waktu. tidak seperti toko sebelah lebih gampang";
87;"saya sdh mendengar banyak dari teman d saudara saudara sy tentang kelebihan belanja on line di tokopedia,karena barang yang di kirim sesuai dengan keinginan pembeli dan ukuranpun sama sesuai pesanan tapi sy baru instal aplikasi ini sehingga saya belum memiliki pengalaman belanja di tokopedia mudah mudahan aplikasi ini bisa bermanfaat bagi saya,terima kasih..";
88;"tolong konfirmasi kesalahan pengiriman secepatnya,ini saya beli barang sampe sekarang belum ada padahal udah mesen dari sebelum jam 4sore dan saya pilih grab instan,tapi email yg masuk malah barang sudah diterima,tolong sebelum bilang barang sudah diterima dicek dulu itu barang diterima siapa!!! jangan jadi akun penipu,ini sudah termasuk penipuan!!! segera ditindak lanjuti";
89;"yg lain udh ngadain promo undian barang mewah dengan harga gak sampai 20ribu, plus jaminan uang kembali jika tdk beruntung";
90;"saya turunin bintangnya, aneh ini aplikasi di hp saya lemot sekali, padahal aplikasi yang lain lancar cupa tokped yg lemot, udah segala cara saya coba update versi terbarupun sudah tapi tetap lemot tolong bagimana solusinya";
91;knapa udh 3 hari ini tokopedia down pas saat mau pembayaran bnyak yg down pas saya mau cari bantuan ternyata sama saja pusat bantuan juga down tolong di perbaiki dan saya udh dm di Instagram gk ada respon untuk kali ini 3 dolo;
92;pertama2 saya ucapkan trimakasih kepd tokopedia karna barng yg aku inginkan tlah aku dapatkan dan tokopedia tempat utk mencari barang kebutuhan apa saja ada disana mudan dan praktis dan barang yg kita pesan cepat wktu dan barang yg kita pesan aman;
93;sangat mengecewakan mau bayar pesenan malah error pdhl tinggal milih metode pembayaran sebelum di update normal2 saja . 1 tahun lebih langganan aplikasi ini makin ke sini makin hancur. sangat kecewa;
94;transaksi lebih aman dan terpercaya serta memberikan kemudahan untuk kita dalam membeli produk yang kita inginkan tanpa harus repot dan takut barang yang kita beli tidak sesuai ataupun tidak sampai dengan mekanisme pembayaran atau transaksi yang sudah tokopedia tentukan kita di berikan kemudahan untuk bisa menukar dan komplain serta mengecek produk dari hand phone tanpa harus bingung dan repot pokoknya membeli produk di tokopedia recomended jadi jangan ragu untuk bertransaksi ??;
95;pada saat saya hampir di tipu 7 juta saya langsung kirim email ke tokped dan respon cepat untuk tindak lanjut saya di telepon dari pihak tokped lalu pihak tokped blokir toko penipuan nyaa dan uang saya kembali;
96;SEKARANG ADA MASALAH LAGI. saat beriklan di tokopedia dengan Berbayar (TOP ADS) kenapa saya dipaksa mininal klik 350. itu sangat tinggi untuk produk saya yg jarang laku! dulu bisa Rp 50 per klik sekarang dipaksa Rp 350/klik itu Gila. tokopedia Gila cari Duit gak Halal. maksa maksa. tolong dipertinbangkan ulang! saya mewakili seluruh penjual kecewa berat. otomatis diset di harga Klik tinggi. + pas checkout beli barang. macet inputnya;
97;"nyesel beli di TOKOPEDIA saya beli batray hp dari tanggal 4 april sampai saat ini barang belum datang uang pun belum kembali oiya saya beli di toko ""mekkanizm acc"" ketika di tanyakan pihak tokonya. slow respon kadang2 gak di balas ada yang di baca doang seperti tidak bertanggung jawab. saya menulis ulasan ini bertanggung jawab dunia akhirat saya tidak mengada2";
98;"Barangnya sudah sampai, makanya jangan larang Dropshipper konfirmasi pengiriman ya. Ribet kan jadinya, saya rugi sampai satu juta karena sistem kalian melarang kami Dropshipper tidak mengkonfirmasi pengiriman. Jangan asal menghimbau, saya tidak tau lagi harus bagaimana mengkonfirmasi pesanan yang telah terkirim. Harusnya kalian yang berubah. Tolong bolehkan Dropshipper mengkonfirmasi pengiriman, saya suda rugi sejuta gara2 sistem dropship kalian yang tidak jelas dan menipu";
99;Kalau ada barang bayar di tempat langsung saya kasih bintang 5 ya sekarang saya kasih bintang 3 aja dulu. .saya puas belanja di tokopedia namun saya juga masih belum puas karena tidak ada sistem bayar barang di tempat. .mudah mudahan bisa di perbaiki dan mudah mudahan saran saya di terima. .pembeli senang barang bagus dan aman harga murah meriah hatipun gembira terima kasih tokopedia udah menyediakan pembayaran OVO nya. .;
100;"Memang sekarang banyak orang berbuat curang yang merugikan tokopedia, misal dengan membuat lebih dr 1 akun demi menikmati keuntungan dr tokopedia. Untuk menjamin bahwa 1 pengguna hanya 1 akun pakai verifikasi ktp kan bisa, pakai 1 akun di tuduh lebih dari 1 akun, akhirnya terjadi pembuatan cashback, hargapun lebih mahal jadinya. Kalo perlu verifikasi ktp dan KK biar ga di tuduh pakai lebih dr 1 akun.";
101;"Halo admin, saya mengalami sedikit kendala yaitu tiap mo membuka jendela 12 product berikutnya terlalu lama, mohon di perbaiki. Dan juga untuk batas harga dari minimum dan maximum kalau bisa di beri pilihan manualnya karna kalau hanya mengikuti pilihan yang ada terlalu banyak product yang di tampilkan dan tidak sesuai dgn yang di harapkan. Terimakasih";
102;"Variasi dan harga barang lebih lengkap dari toko lain, tapi tolong perbanyak promo gratis ongkir seperti toko sebelah.";
